date,avg_co,co_resid,wind_power_dir_avg,power_norm,speed_norm
15jan2002,1.595652,.7204275,275.5227,79.41906,57.22155
16jan2002,2.120833,1.240888,260.5345,23.14265,26.16867
17jan2002,2.008333,1.189839,269.5922,31.73485,42.45353
18jan2002,2.1,1.251511,278.6493,20.46708,34.56543
19jan2002,2.354167,1.440039,241.0914,23.51589,33.47637
20jan2002,2.025,1.167504,203.0999,54.52856,50.41997
21jan2002,2.3375,1.435708,257.8638,67.00659,46.67168
22jan2002,2.229167,1.212137,192.6934,112.9528,61.20411
23jan2002,1.491304,.5341918,270.7546,5.42448,11.37665
24jan2002,1.308333,.3843631,321.7901,34.71165,34.70027
25jan2002,1.695833,.7136953,229.2314,79.33068,58.13987
26jan2002,1.770833,.7149004,216.7234,55.70493,52.66805
27jan2002,1.491667,.4923653,209.0416,79.97819,59.85011
28jan2002,1.55,.5710409,35.82405,15.31387,9.809023
29jan2002,1.143478,.2682536,19.258,39.47283,44.78746
30jan2002,1.178261,.2983152,47.50627,36.17357,39.82259
31jan2002,1.458333,.5833565,64.22687,96.79667,53.9888
01feb2002,1.420833,.7133489,288.8258,128.1808,63.02544
02feb2002,1.983333,1.266692,208.4523,47.06052,42.83308
03feb2002,1.491667,.8316568,290.0367,67.27275,47.64334
04feb2002,1.4,.7521771,326.5535,72.5298,47.45845
05feb2002,1.908333,1.230595,245.9304,49.2137,45.78315
06feb2002,2.0875,1.405041,222.6211,17.1232,33.84748
07feb2002,1.6375,.9110163,257.2673,41.07324,46.52923
08feb2002,2.354167,1.597689,241.7481,36.03637,33.38017
09feb2002,2.083333,1.289525,161.768,35.63306,43.15241
10feb2002,1.183333,.4461564,358.2512,152.8885,44.08489
11feb2002,1.56087,.8075707,213.0022,124.2978,47.76847
12feb2002,1.154167,.4274352,281.9616,169.6745,70.71883
13feb2002,1.704167,1.021708,269.7013,18.0786,25.15841
14feb2002,1.704167,.977683,204.7384,141.0639,69.40959
15feb2002,1.645833,.8893555,256.7082,103.6254,61.5823
16feb2002,1.3375,.5718652,296.7928,96.6115,55.23917
17feb2002,1.629167,.9691569,13.06949,10.5146,12.0396
18feb2002,1.8,1.018528,187.2315,93.42375,61.42057
19feb2002,1.775,1.020095,181.0265,98.69017,62.94324
20feb2002,1.708696,.9490696,244.4159,146.4404,63.37233
21feb2002,1.279167,.6016764,321.8377,71.13467,54.59462
22feb2002,1.720833,.9643555,327.7832,20.72781,18.61504
23feb2002,1.958333,1.164525,193.8955,69.45207,52.30006
24feb2002,1.570833,.7690185,188.753,197.118,78.90359
25feb2002,1.279167,.4976942,347.4313,37.44975,31.54515
26feb2002,1.3,.6222618,302.8119,86.65457,59.64915
27feb2002,1.483333,.8573568,293.3291,65.00747,54.03109
28feb2002,1.945833,1.268343,237.983,71.12544,49.93658
01mar2002,1.6125,1.066543,73.37144,24.74125,21.55021
